left hip,left knee,right hip,right knee
125.3,105.3,102.5,125.8
119,120.9,101.8,125.9
149.5,151,108.7,123.2
147,129.2,109.8,121.8
113.7,105.9,110.8,120.7
149.6,129.5,110.9,123.3
148.9,129.4,112.6,124.6
146.1,154.1,118.1,134.5
145.9,163.6,123,165.8
126,147.4,118.4,171.3
74.7,105.4,100.4,99.1
145.1,124.4,118.8,94.2
142.7,168.2,116.5,138.1
127.7,154.7,86.8,160.4
76,157.9,79.9,156
135.2,142.2,79.7,159.9
143.6,157.3,113.4,169.7
128.7,170.3,127.3,159.8
131,163.4,125,118.6
141.2,128.7,136.2,74.5
145.8,139.2,138.7,71.7
135.9,131.1,84.4,167.5
112.3,178.4,67.9,173.8
111.3,169,85,178.5
114,152,82.4,148.2
137.9,145.2,131.3,106.9
106.2,179.4,113.2,66.9
105.6,162.9,64.9,178.1
141.5,142.2,70.2,159.4
143.3,145.1,93.1,103.4
116.2,179.9,140.9,127.1
104.7,114.1,140.6,100.2
102.7,136.1,123.2,52.9
97.7,179.7,73.6,120.2
91.6,155.9,69.6,175.2
137.7,145.2,84,168.9
101.3,113,141.2,86.4
100.9,111.2,133.9,47.4
99.6,125.9,134.2,42.1
97.3,169.8,121.1,127
95.6,157.7,81.4,170.7
143.8,144.2,134.3,38.8
108.9,116.2,78.3,110.2
110.5,120.3,139.4,32.5
101.8,166.4,79.2,121.2
99.9,177.2,138.9,32.5
99.5,177.7,80.6,124.5
97.4,168.3,129.1,110.1
138,146.6,134.3,37.5
129.4,169,98.1,121.5
116.8,165.7,117.7,160.7
107.4,152,82.7,162.9
112.7,163.5,68.6,158.8
109,154.7,125.2,49.3
106.2,176.2,141.2,60.6
97.4,154.5,116.1,151.3
143.4,150.3,69.8,170.4
147.5,149.7,66.6,160
142.6,149.8,136.9,45.4
126.8,174.6,75.6,161.2
121.2,173.5,136.9,46.1
115.3,165.9,63.4,174.4
113.1,169.5,87.1,137.3
107.3,177.1,94.9,161.9
100.9,167.4,91.5,171.5
89.4,136.9,133.3,171.3
