left hip,left knee,right hip,right knee
107.6,122.2,138.9,124.0
103.7,122.2,129.3,125.8
120.1,134.8,136.7,100.1
130.9,133.5,131.3,111.3
132.4,137.3,117.4,132.9
133.0,139.0,115.8,135.0
117.3,124.4,116.4,139.6
108.3,110.9,113.7,152.2
115.6,141.6,118.6,176.5
132.1,140.1,116.5,161.5
119.1,178.1,120.9,152.3
119.6,174.6,132.6,150.4
117.9,173.3,93.8,84.7
121.3,131.6,113.2,65.1
114.6,125.5,87.9,125.3
111.0,135.7,71.0,137.0
115.7,134.7,133.3,95.3
131.5,179.6,84.3,178.5
121.3,98.3,101.2,179.2
116.8,113.0,129.3,166.8
116.9,147.7,137.6,44.5
114.0,112.0,140.7,50.5
112.5,172.1,74.8,86.0
129.7,110.2,85.7,125.5
127.9,141.9,94.0,120.5
128.1,178.9,135.0,119.7
122.2,114.4,123.4,130.3
116.7,171.6,121.0,131.8
117.0,170.6,117.7,134.4
112.9,108.6,108.2,135.0
115.3,110.7,100.3,137.3
117.7,125.6,97.1,139.1
117.0,160.0,67.0,179.0
107.6,171.3,139.5,41.9
116.3,162.6,139.5,41.6
105.2,136.0,138.0,25.2
133.5,165.1,139.1,25.9
133.5,165.1,132.9,30.3
129.0,110.5,140.1,55.0
129.9,164.9,91.7,97.9
127.8,102.4,75.1,127.3
116.5,124.0,95.3,114.8
114.4,130.4,104.3,113.5
116.2,171.5,112.1,105.4
115.7,179.8,111.3,104.9
89.8,119.5,118.3,109.8
112.2,144.4,120.7,107.2
116.5,120.9,119.7,99.9
113.7,166.2,110.4,131.1
111.9,166.2,89.3,165.7
109.3,175.1,105.1,155.1
110.3,178.6,139.3,138.2
110.4,162.8,72.8,76.5
111.1,163.2,75.9,79.9
110.5,169.5,113.4,48.5
96.1,134.7,139.3,30.6
81.8,123.9,138.1,29.4
79.9,137.8,102.7,79.8
82.3,138.8,67.1,123.3
133.5,173.7,106.8,105.2
121.5,150.4,113.0,103.1
119.7,162.7,113.0,103.1
118.4,163.1,94.7,110.5
106.7,177.3,102.5,139.5
108.1,178.6,70.6,150.0
131.1,148.9,84.6,86.4
132.6,170.3,108.6,63.0
129.6,177.7,121.1,54.0
116.7,159.9,103.7,58.6
115.6,160.8,113.2,51.2
107.0,169.3,130.3,39.3
123.3,173.1,108.7,78.1
123.1,175.8,70.5,122.7
118.8,173.6,80.7,116.3
106.1,157.7,106.9,100.0
133.9,157.3,139.8,84.1
119.4,166.9,103.3,133.6
111.7,159.8,92.4,140.9
111.5,162.0,83.4,176.7
112.0,163.6,91.1,158.2
101.8,179.1,99.6,149.1
100.2,141.5,133.1,132.8
129.2,167.5,139.2,24.1
119.7,178.0,139.2,24.1
120.4,171.6,80.9,107.0
117.0,161.5,69.1,123.1
113.7,157.1,100.7,97.6
116.5,158.3,108.7,92.2
104.8,169.8,126.2,82.8
95.5,177.5,135.2,106.9
107.0,178.0,99.6,134.4
117.6,143.6,81.2,144.1
115.2,107.3,91.1,154.6
95.4,178.1,94.9,152.1
105.6,152.3,100.5,148.5
115.7,114.6,125.1,132.7
105.7,173.3,127.8,91.8
98.2,150.4,118.1,85.1
96.4,148.7,130.5,79.0
134.2,159.3,133.5,104.7
110.7,113.5,104.5,126.0
109.3,170.5,96.5,146.0
110.3,162.0,114.5,127.3
105.4,151.4,96.8,123.1
102.0,178.4,108.2,94.4
92.5,142.7,113.4,96.9
86.4,140.9,81.9,107.5
79.9,135.0,126.4,88.7
117.0,147.4,141.0,92.2
121.2,178.2,139.1,88.2
111.6,156.6,132.3,109.2
111.6,158.2,72.4,177.8
106.8,118.2,101.2,148.9
104.7,148.1,99.4,139.1
96.2,175.1,128.0,122.0
98.0,178.1,127.7,68.9
126.4,176.2,127.8,104.0
118.0,124.0,105.4,122.2
112.7,153.1,97.4,129.6
110.7,104.2,84.4,140.8
110.8,111.4,82.7,140.5
106.7,129.8,103.0,173.4
105.7,172.5,85.2,160.5
102.1,166.7,109.9,132.6
79.4,143.9,131.3,122.6
115.8,119.2,77.5,93.0
106.7,108.7,128.2,109.7
108.0,118.9,124.4,112.8
109.3,128.5,97.7,135.0
102.3,172.9,93.9,137.0
120.0,171.4,67.6,149.6
109.4,120.2,76.4,170.4
110.1,116.2,117.5,64.0
107.3,120.1,70.8,129.9
104.0,118.4,127.5,93.1
110.8,164.0,133.4,82.9
104.7,171.3,101.8,131.8
104.8,158.2,88.5,136.2
111.3,161.1,82.3,141.5
109.6,111.1,75.3,149.4
109.6,112.3,119.1,173.1
111.3,158.3,125.1,141.5
109.1,159.7,121.5,106.7
106.6,162.4,80.4,103.8
102.8,161.9,81.5,103.5
102.8,161.9,126.0,119.7
113.3,160.7,87.4,139.6
110.7,162.0,67.6,154.3
101.0,171.7,104.0,175.2
129.0,156.5,90.7,74.0
129.6,156.5,72.6,117.5
133.7,163.1,73.3,111.3
117.1,179.2,84.5,112.4
116.0,174.4,87.6,103.2
115.6,165.8,118.3,87.5
115.5,162.4,108.6,81.2
113.7,159.6,106.9,90.9
112.1,161.2,123.3,67.7
86.6,137.6,75.2,175.9
