left hip,left knee,right hip,right knee
117.7,175.1,80.5,169.7
121.2,156.4,68.7,176.4
121.6,156.9,70.2,179.8
117.7,153.1,131.4,141.3
117.3,151.0,131.5,105.6
113.6,151.6,69.5,121.9
110.0,175.9,68.7,134.8
110.4,166.9,83.3,131.3
103.6,131.0,132.7,89.0
87.1,129.0,138.5,47.2
85.4,127.5,84.6,148.1
83.6,123.0,92.8,148.7
114.4,164.6,145.9,49.4
117.6,167.2,130.4,79.3
79.7,120.1,87.3,132.4
111.7,151.8,84.1,129.3
112.6,155.4,84.7,178.7
109.0,179.6,110.4,147.6
108.5,111.3,131.3,70.3
108.3,164.0,80.9,136.7
106.8,169.1,89.9,170.5
108.5,179.9,84.4,178.8
99.5,134.3,75.0,175.7
74.9,143.0,103.1,167.7
111.7,158.1,122.9,131.2
